STL,English,Complexity
"always[0,20](s1 > 50) and eventually[0,20](always[0,5](s2 <= 30)) -> eventually[0,60](s3 > 75)","If sensor value s1 remains above 50 during the first 20 seconds and concurrently, the value of s2 does not exceed 30 for at least 5 seconds, then s3 should rise above 75 within the next 60 seconds.",nested
"always[0,60](p_1 <= 80) -> eventually[50,70](v_1 > 100)",The pressure p1 must not exceed 80 units at any moment during the next 60 seconds to guarantee that the volume v1 will exceed 100 units at least once between 50 and 70 seconds.,non-nested
"always(always[0,10](p1>100) -> eventually[0,50](f1>20))","Every time the pressure p1 exceeds 100 units for a continuous period of at least 10 seconds, then within the next 50 seconds, the flow rate f1 should increase above 20 units.",non-nested
"always[0,10](p1 > 25) and always[5,15](p2 <= 15)","The pressure p1 remains over 25 psi from time 0 to 10, while simultaneously the pressure p2 does not exceed 15 psi anytime between 5 and 15 seconds.",non-nested
"always[0,30](v1 >= 45) -> always[20,60](p1 > 100)","When the average speed v1 does not drop below 45 km/h during the initial 30-second interval, it should be followed by the pressure p1 maintaining above 100 Pa consistently for the next 20 to 60 seconds.",non-nested
"always[100,200](x_3 > 2.5 -> eventually[1,3](x_4 < 0.5))","Whenever signal x_3 exceeds 2.5 between 100 and 200 time units, signal x_4 must be less than 0.5 within 1 to 3 time units following the event.",nested
"always[0,10](v_1 > 10) and always[0,10](i_1 < 5) -> eventually[20,30](p_1 < 50)","Whenever the voltage v_1 stays above 10 units from time 0 to 10 and the current i_1 remains below 5 units in the same interval, it ensures that the power p_1 will drop below 50 units at some point between time 20 and 30.",non-nested
"always[5,15](x_1 < -2 -> eventually[5,10](x_3 > 8))","Every time signal x1 drops below -2 between the moments 5 and 15 seconds, signal x3 must exceed 8 at least once in the subsequent 5 to 10 seconds.",nested
"always[0,60](p_1 <= 45) and eventually[0,30](v_1 < 5) -> eventually[0,100](t_1 > 50)","The process requires that the pressure p1 should not exceed 45 units for the initial 60 seconds, and simultaneously, the vibration level v1 must drop below 5 units at least once within the first 30 seconds. Following this, there must be a sure increase in temperature t1 above 50 degrees within 100 seconds.",non-nested
"always[0,150]((c1 > 0.5) -> eventually[10,25](p1 < 100))","Within the interval from 0 to 150 seconds, if the concentration c1 exceeds 0.5 at any time, it should be followed within 10 to 25 seconds by the pressure p1 falling below 100 units.",non-nested
"always[0,30](p1 > 40) -> eventually[35,60](v1 > 100)","Whenever the pressure p1 exceeds 40 psi continuously for the first 30 seconds, it must result in the vibration frequency v1 being greater than 100 Hz at least once between 35 to 60 seconds afterwards.",non-nested
"eventually[0,5](x1 > 20) and always[5,10](x1 < 10)",The speed signal x1 exceeds 20 within the first 5 seconds but then stays below 10 between seconds 5 and 10.,non-nested
"always[2,6](x_1 > 10 and x_2 >= -5)","Every value of signal x1 exceeds 10 while simultaneously, signal x2 never drops below -5 during the interval from 2 to 6 seconds.",non-nested
"always[2,6](x_3 < 10) -> eventually[5,8](x_4 > 20)","If the signal x3 stays below 10 between time 2 and 6, then the signal x4 must exceed 20 at least once between time 5 and 8.",non-nested
"always((x_1>1.0) -> (eventually[2,4] (always[0,5](x_3>0.5))))","Whenever signal x_1 reaches above 1.0, signal x_3 must exceed 0.5 within 2 to 4 time units, continuously for at least 5 time units.",non-nested
"eventually[0,60](always[0,5](v_1 > 60))",The average speed of vehicle v_1 exceeds 60 mph continuously for at least 5 minutes within the first hour.,nested
"eventually[0,2](v_1 > 10) -> always[5,10](i_1 > 0.5)","If the voltage v1 exceeds 10 volts during the first 2 seconds, then the current i1 must consistently be above 0.5 amperes from 5 to 10 seconds later.",non-nested
"always[5,20](t > 50)",The temperature signal t always exceeds 50 degrees from the 5th to the 20th minute.,non-nested
"always[0,60](p1 > 45 -> eventually[10,20](p2 <= 35))","Whenever the pressure p1 exceeds 45 units during the first 60 seconds, pressure p2 must not exceed 35 units between 10 and 20 seconds later.",nested
"always[2,10](v <= 1.5)",The signal v must not exceed the value 1.5 for at least 8 time units starting from time unit 2.,non-nested
"always[0,10](x_3 >= 0.5)",The value of signal x_3 never drops below 0.5 during the first 10 seconds.,non-nested
"always[0,60](p1 <= 100) and always[0,60](p2 > 20)","The pressure p1 must not exceed 100 units from now until 60 seconds, and simultaneously, the pressure p2 should remain above 20 units within the same period.",non-nested
"always[20,40](x_1 > 10 -> eventually[0,5](x_2 < 5))","Every time signal x1 exceeds 10 between seconds 20 and 40, it must be followed by signal x2 dropping below 5 within 5 seconds.",nested
"always[0,500](v > 10 -> always[0,100](v > 5))","At any point during the first 500 time units, if signal v exceeds 10, it should remain above 5 for at least the next 100 time units.",nested
"always[20,40]((x_3 >= 5) and (x_3 <= 15))",The signal x_3 remains between 5 and 15 inclusive from time 20 to 40.,non-nested
"always[0,10](((20 <= p_1) and (p_1 <= 40)) and f_1 <= 100)","The pressure p1 remains between 20 to 40 psi at all times during the first 10 minutes, while simultaneously the flow rate f1 does not exceed 100 L/min for any moment within the same interval.",non-nested
"always[0,40](x_3 > 0.5) and eventually[0,5](x_4 > 0.2) -> always[40,70](x_3 > 0.4)","If signal x_3 exceeds 0.5 continuously for a span of 40 seconds, and during this period signal x_4 fluctuates above 0.2 at least once for 5 seconds, then x_3 must not drop below 0.4 in the next 30 seconds following this period.",non-nested
"always[0,10](v > 30) and eventually[12,15](a > 5)","The speed `v` remains consistently above 30 m/s for at least the first 10 seconds, and then the acceleration `a` increases beyond 5 m/s^2 between 12 and 15 seconds.",non-nested
"always[2,6](x > 10) and always[2,6](y <= 8)","Signal x remains above 10 from time unit 2 to time unit 6, while simultaneously signal y must not exceed 8 during this period.",non-nested
"always[100,1200](x > 5 and z <= -1)","Between 100 and 1200 time units, signal x must continuously remain above 5. Concurrently, signal z must not exceed -1 throughout this interval.",non-nested
"always[0,60](v1 <= 30) -> always[50,100](a1 < 5)","If the velocity v1 does not exceed 30 m/s for the first 60 seconds, then the acceleration a1 must be less than 5 m/s^2 between 50 to 100 seconds.",non-nested
"always[0,60](h_1 > 85) -> eventually[0,30](t_3 > 35)","If the humidity level h1 is consistently above 85% throughout the next 60 minutes, it implies that the temperature t3 will surpass 35 degrees at least once within the following 30 minutes.",non-nested
"always[0,30](p_1 > 120) -> always[0,30](v_1 < 80)","If the pressure p1 exceeds 120 psi continuously over the first 30 seconds, then subsequently, within the same 30 second period, the volume v1 must remain below 80 liters.",non-nested
"always[0,20](p_1 > 30) and eventually[0,20](v_1 < 50) -> eventually[0,60](t_1 > 100)","If the pressure p1 is consistently above 30 units from the start for 20 minutes and during the same period, the volume v1 is below 50 units at least once, then the temperature t1 will exceed 100 degrees at some time in the next 60 minutes.",non-nested
"always(p1 > 120 -> always[0,120](v1 >= 80))","Whenever the pressure p1 exceeds 120 units, the volume v1 must not drop below 80 units for any 30 seconds within the next 2 minutes.",nested
"always[0,10](x3 < -2) -> eventually[5,15](x4 > 1)","Whenever the signal x3 stays below -2 during the first 10 time units, the signal x4 must exceed 1 at least once between 5 and 15 time units later.",non-nested
"always[0,10](v < 50) and eventually[10,15](v > 70)",The velocity v should be below 50 units for the first 10 seconds and then exceeds 70 units sometime during the following 5 seconds.,non-nested
"always[5,15](v_1 > 20) and (eventually[10,20](a_1 > 3) or eventually[5,10](p_1 < 100))","The velocity v1 remains consistently above 20 m/s during the interval [5,15], while either the acceleration a1 surpasses 3 m/s² at some point during [10,20] or the pressure p1 drops below 100 hPa during [5,10].",non-nested
"always[10,20](abs(x_3 - x_4) <= 5)",The signal x_3 should remain within 5 units of signal x_4 for the entire duration from time 10 to 20.,non-nested
"eventually[100,150](x1 > 20) -> (eventually[160,200](x2 < 15) or eventually[160,200](x3 > 30))","If signal x1 exceeds 20 between time interval [100, 150], then it must be that either signal x2 drops below 15 or signal x3 rises above 30 anytime between [160, 200].",non-nested
"always[2,6](x3 < 3) -> always[7,10](x4 > 2)","Whenever signal x3 remains under 3 during the entire time interval from 2 to 6, subsequently signal x4 must consistently exceed 2 between time intervals 7 and 10.",non-nested
"always[100,200]((x_2 > 0.3) -> eventually[1,2](x_4 > 0.5))","From 100 to 200 time units, there must always be a case that if signal x_2 exceeds 0.3 then within 1 to 2 time units signal x_4 must exceed 0.5.",non-nested
"always[0,120](p1 > 75) -> always[60,180](t1 <= 100)","If the pressure p1 exceeds 75 psi continuously over the next 120 seconds, then the temperature t1 must not exceed 100 degrees any time between 60 and 180 seconds from now.",non-nested
"always[2,5](p1 > 100) or eventually[3,7](v1 > 30)","The pressure p1 must remain above 100 units consistently through the interval [2,5], or alternatively, the vibration v1 must exceed 30 units at any time within the interval [3,7].",non-nested
"always[0,10](v_1 > 20) and always[0,10](a_1 <= 15) -> always[12,22](f_1 >= 30)","Whenever the velocity v_1 stays above 20 units from time 0 to 10, and the acceleration a_1 does not exceed 15 units during this period, then the force f_1 should not drop below 30 units anytime between 12 and 22 seconds.",non-nested
"always[0,50](p_1 <= 80) -> always[60,120](v_2 > 20)","If the pressure p1 does not exceed 80 units at any moment within the next 50 seconds, then the velocity v2 must remain above 20 units throughout the interval from 60 to 120 seconds.",non-nested
"always(p_1 > 50 -> always[15,30](v_1 <= 5))","Whenever the pressure p1 exceeds 50 units, the vibration level v1 must not exceed 5 units for the subsequent 15 to 30 seconds.",non-nested
"eventually[0,50](p > 100) and eventually[50,70](p < 80) -> always[70,170](((30 <= f) and (f <= 50)))","If the pressure p exceeds 100 units within the next 50 seconds, and then within an additional 20-second period, the pressure drops below 80 units, the flow rate f must remain between 30 and 50 units for the next 100 seconds.",non-nested
"always[5,15](x3 < 2)",The signal x3 maintains a value less than 2 continuously from time 5 to 15.,non-nested
"always[2,5](x_3 < 10) -> (eventually[4,6](x_4 > 15) or always[3,7](x_4 > 8))","Whenever signal x3 remains below 10 during the interval [2,5], it is necessary that signal x4 either exceeds 15 at some point within [4,6], or it consistently stays above 8 throughout the interval [3,7].",non-nested
"always[0,60](h1 > 85) -> eventually[60,120](always[0,20](l1 <= 300))","If within the first 60 seconds, the humidity level h1 remains above 85% continuously, then for at least 20 seconds during the next minute, light intensity l1 should not exceed 300 lumens.",nested
"always[0,100](p_1 > 50) -> (eventually[100,140](p_2 > 75) -> always[140,200](p_3 >= 30))","If the pressure p1 is above 50 units for all times between 0 and 100 seconds and then the pressure p2 exceeds 75 units within the next 20 to 40 seconds, it implies that the pressure p3 will not drop below 30 units at any point in the subsequent 60 seconds.",non-nested
"always[0,5](p1 <= 30)",The pressure p1 does not exceed 30 units at any point within the first 5 time units.,non-nested
"eventually[0,50](always[0,10](p_1 > 70)) -> always[30,80](p_2 >= 20)","If the pressure p1 exceeds 70 units for at least 10 seconds within the first 50 seconds, then the pressure p2 must not fall below 20 units anytime between 30 and 80 seconds later.",nested
